,AF1-1,AF1-2,AF1-3,AF1-4,AF1-5,AF1-6,AF1-7,AF1-8,AF1-9,AF1-10,AF1-11,AF1-12,AF1-13,AF2-1,AF2-2,AF2-3,AF2-4,AF2-5,AF2-6,AF2-7,AF2-8,AF2-9,AF2-10,AF2-11,AF2-12,AF2-13,AF2-14,AF2-15,AF3-1,AF3-2,AF3-3,AF3-4,AF3-5,AF3-6,AF3-7,AF3-8,AF3-9,AF3-10,AF3-11,AF3-12,AF3-13,AF3-14,AF3-15,AF5-1,AF5-2,AF5-3,AF5-4,AF5-5,AF5-6,AF5-7,AF5-8,AF5-9,AF5-10,AF5-11,AF5-12,AF5-13,AF5-14,AF5-15,AF6-1,AF6-2,AF6-3,AF6-4,AF6-5,AF6-6,AF6-7,AF6-8,AF6-9,AF6-10,AF6-11,AF6-12,AF6-13,AF6-14,AF6-15,AD1-1,AD1-2,AD1-3,AD1-4,AD1-5,AD1-6,AD1-7,AD1-8,AD1-9,AD1-10,AD1-11,AD1-12,AD1-13,AD1-14,AD1-15,AD1-16,AD1-17,AD1-18,AD1-19,AD1-20,AD1-21,AD1-22,AD1-23,AD1-24,AD1-25,AD1-26,AD1-27,AD1-28,AD1-29,AD1-30,AD1-31,AD1-32,AD1-33,AD1-34,AD1-35,AD1-36,AD1-37,AD1-38,AD1-39,AD1-40,AD1-41,AD1-42,AD1-43,AD1-44,AD1-45,AD1-46,AD1-47,AD1-48,AD1-49,AD1-50,AD1-51,AD1-52,AD1-53,AD1-54,AD1-55,AD1-56,AD1-57,AD1-58,AD1-59,AD1-60,AD1-61,AD1-62,AD1-63,AD1-64,AD1-65,AD1-66,AD1-68,AD1-70,AD1-71,AD1-72,AD1-73,AD1-74,AD1-75,AD1-76,AD1-77,AD1-78,AD1-79,AD1-80,AD1-81,AD1-82,AD1-83,AD1-84,AD1-85,AD1-86,AD1-87,AD1-88,AD1-89,AD1-90,AD1-91,AD1-92,AD1-93,AD1-94,AD1-95,AD1-96,AD1-97,AD1-98,AD1-99,AD1-100,AD6-1,AD6-2,AD6-3,AD6-4,AD6-5,AD6-6,AD6-7,AD6-8,AD6-9,AD6-10,AD6-11,AD6-12,AD6-13,AD6-14,AD6-15,AD6-16,AD6-17,AD6-18,AD6-19,AD6-20,AD6-21,AD6-22,AD6-23,AD6-24,AD6-25,AD6-26,AD6-27,AD6-28,AD6-29,AD6-30,AD6-31,AD6-32,AD6-33,AD6-34,AD6-35,AD6-36,AD6-37,AD6-38,AD6-39,AD6-40,AD6-41,AD6-42,AD6-43,AD6-44,AD6-45,AD6-46,AD6-47,AD6-48,AD6-49,AD6-50,AD6-51,AD6-52,AD6-53,AD6-54,AD6-55,AD6-56,AD6-57,AD6-58,AD6-59,AD6-60,AD6-61,AD6-62,AD6-63,AD6-64,AD6-65,AD6-66,AD6-67,AD6-68,AD6-69,AD6-70,AD6-71,AD6-72,AD6-73,AD6-74,AD6-75,AD6-76,AD6-77,AD6-78,AD6-79,AD6-80,AD6-81,AD6-82,AD6-83,AD6-84,AD6-85,AD6-86,AD6-87,AD6-88,AD6-89,AD6-90,AD6-91,AD6-92,AD6-93,AD6-94,AD6-95,AD6-96,AD6-97,AD6-98,AD6-99,AD6-100,AB2-1,AB2-2,AB2-3,AB2-4,AB2-5,AB2-6,AB2-7,AB2-8,AB2-9,AB2-10,AB2-11,AB2-12,AB2-13,AB2-14,AB2-15,AI2-1,AI2-2,AI2-3,AI2-4,AI2-5,AI2-6,AI2-7,AI2-8,AI2-9,AI2-10,AI2-11,AI2-12,AI2-13,AI2-14,AI2-15,AL2-1,AL2-2,AL2-3,AL2-4,AL2-5,AL2-6,AL2-7,AL2-8,AL2-9,AL2-10,AL2-11,AL2-12,AL2-13,AL2-14,AL2-15
AF1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-2,99.93226338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-3,99.91390019,99.87927086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-4,99.95442719,99.97885286,99.90059661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-5,99.9839285,99.92781965,99.93761114,99.94762716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-6,99.95982675,99.98391506,99.89786376,99.99100522,99.95385807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-7,99.96401179,99.95246351,99.95628122,99.96445339,99.97167176,99.9678354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-8,99.96438814,99.94125536,99.88419877,99.96223957,99.94127,99.97189684,99.94093731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-9,99.98695954,99.9495298,99.88905329,99.9598586,99.97076751,99.96795917,99.95243164,99.97184312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-10,99.50666944,99.48031966,99.57285023,99.45973167,99.5565268,99.48747507,99.55071682,99.48059208,99.50159591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF1-11,99.23502096,99.12384092,99.30943166,99.11174004,99.28955468,99.14977214,99.22405347,99.21435393,99.18202392,98.84716407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
