,F1-1,F1-2,F1-3,F1-4,F1-5,F1-6,F1-7,F1-8,F1-9,F1-10,F1-11,F1-12,F1-13,F2-1,F2-2,F2-3,F2-4,F2-5,F2-6,F2-7,F2-8,F2-9,F2-10,F2-11,F2-12,F2-13,F2-14,F2-15,F3-1,F3-2,F3-3,F3-4,F3-5,F3-6,F3-7,F3-8,F3-9,F3-10,F3-11,F3-12,F3-13,F3-14,F3-15,F5-1,F5-2,F5-3,F5-4,F5-5,F5-6,F5-7,F5-8,F5-9,F5-10,F5-11,F5-12,F5-13,F5-14,F5-15,F6-1,F6-2,F6-3,F6-4,F6-5,F6-6,F6-7,F6-8,F6-9,F6-10,F6-11,F6-12,F6-13,F6-14,F6-15,D1-1,D1-2,D1-3,D1-4,D1-5,D1-6,D1-7,D1-8,D1-9,D1-10,D1-11,D1-12,D1-13,D1-14,D1-15,D1-16,D1-17,D1-18,D1-19,D1-20,D1-21,D1-22,D1-23,D1-24,D1-25,D1-26,D1-27,D1-28,D1-29,D1-30,D1-31,D1-32,D1-33,D1-34,D1-35,D1-36,D1-37,D1-38,D1-39,D1-40,D1-41,D1-42,D1-43,D1-44,D1-45,D1-46,D1-47,D1-48,D1-49,D1-50,D1-51,D1-52,D1-53,D1-54,D1-55,D1-56,D1-57,D1-58,D1-59,D1-60,D1-61,D1-62,D1-63,D1-64,D1-65,D1-66,D1-68,D1-70,D1-71,D1-72,D1-73,D1-74,D1-75,D1-76,D1-77,D1-78,D1-79,D1-80,AD6-26,AD6-27,AD6-28,AD6-29,AD6-30,AD6-31,AD6-32,AD6-33,AD6-34,AD6-35,AD6-36,AD6-37,AD6-38,AD6-39,AD6-40,AD6-41
F1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-2,99.93226338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-3,99.91390019,99.87927086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-4,99.95442719,99.97885286,99.90059661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-5,99.9839285,99.92781965,99.93761114,99.94762716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-6,99.95982675,99.98391506,99.89786376,99.99100522,99.95385807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-7,99.96401179,99.95246351,99.95628122,99.96445339,99.97167176,99.9678354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-8,99.96438814,99.94125536,99.88419877,99.96223957,99.94127,99.97189684,99.94093731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-9,99.98695954,99.9495298,99.88905329,99.9598586,99.97076751,99.96795917,99.95243164,99.97184312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-10,99.50666944,99.48031966,99.57285023,99.45973167,99.5565268,99.48747507,99.55071682,99.48059208,99.50159591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-11,99.23502096,99.12384092,99.30943166,99.11174004,99.28955468,99.14977214,99.22405347,99.21435393,99.18202392,98.84716407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-12,99.95168958,99.86341907,99.95517027,99.89576283,99.96626545,99.90678135,99.95305341,99.91287089,99.92472901,99.61891776,99.30784507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
