,CF1-1,CF1-2,CF1-3,CF1-4,CF1-5,CF1-6,CF1-7,CF1-8,CF1-9,CF1-10,CF1-11,CF1-13,CF1-14,CF1-15,CF2-1,CF2-2,CF2-3,CF2-4,CF2-5,CF2-6,CF2-7,CF2-8,CF2-9,CF2-10,CF2-11,CF2-12,CF2-13,CF2-14,CF2-15,CF3-1,CF3-2,CF3-3,CF3-4,CF3-5,CF3-6,CF3-7,CF3-8,CF3-9,CF3-12,CF3-13,CF3-14,CF3-15,CF4-1,CF4-2,CF4-3,CF4-4,CF4-5,CF4-9,CF4-10,CF4-11,CF4-13,CF4-14,CF4-15,CF5-1,CF5-2,CF5-3,CF5-4,CF5-5,CF5-6,CF5-7,CF5-8,CF5-9,CF5-10,CF5-11,CF5-12,CF5-13,CF5-14,CF5-15,CF6-1,CF6-2,CF6-3,CF6-4,CF6-5,CF6-6,CF6-7,CF6-8,CF6-9,CF6-10,CF6-11,CF6-12,CF6-13,CF6-14,CD1-1,CD1-2,CD1-3,CD1-4,CD1-5,CD1-6,CD1-7,CD1-8,CD1-9,CD1-10,CD1-11,CD1-12,CD1-13,CD1-14,CD1-15,CD1-16,CD1-17,CD1-18,CD1-19,CD1-20,CD1-21,CD1-22,CD1-23,CD1-24,CD1-25,CD1-26,CD1-27,CD1-28,CD1-29,CD1-30,CD1-31,CD1-32,CD1-33,CD1-34,CD1-35,CD1-36,CD1-37,CD1-38,CD1-39,CD1-40,CD1-41,CD1-42,CD1-43,CD1-44,CD1-45,CD1-46,CD1-47,CD1-48,CD1-49,CD1-50,CD1-51,CD1-52,CD1-53,CD1-54,CD1-55,CD1-56,CD1-57,CD1-58,CD1-59,CD1-60,CD1-61,CD1-62,CD1-63,CD1-64,CD1-65,CD1-66,CD1-67,CD1-68,CD1-69,CD1-70,CD1-71,CD1-72,CD1-73,CD1-74,CD1-75,CD1-76,CD1-77,CD1-78,CD1-79,CD1-80,CD1-81,CD1-82,CD1-83,CD1-84,CD1-85,CD1-86,CD1-87,CD1-88,CD1-89,CD1-90,CD1-91,CD1-92,CD1-93,CD1-94,CD1-95,CD1-96,CD1-97,CD1-98,CD1-99,CD1-100,CD6-1,CD6-2,CD6-3,CD6-4,CD6-5,CD6-6,CD6-7,CD6-8,CD6-9,CD6-10,CD6-11,CD6-12,CD6-13,CD6-14,CD6-15,CD6-16,CD6-17,CD6-19,CD6-20,CD6-21,CD6-22,CD6-23,CD6-24,CD6-25,CD6-26,CD6-27,CD6-28,CD6-29,CD6-30,CD6-31,CD6-32,CD6-33,CD6-34,CD6-35,CD6-36,CD6-37,CD6-38,CD6-39,CD6-40,CD6-41,CD6-42,CD6-43,CD6-44,CD6-45,CD6-46,CD6-47,CD6-48,CD6-49,CD6-50,CD6-51,CD6-52,CD6-53,CD6-54,CD6-55,CD6-56,CD6-57,CD6-58,CD6-59,CD6-60,CD6-61,CD6-62,CD6-63,CD6-64,CD6-65,CD6-66,CD6-67,CD6-68,CD6-69,CD6-70,CD6-71,CD6-72,CD6-73,CD6-74,CD6-75,CD6-76,CD6-77,CD6-78,CD6-79,CD6-80,CD6-81,CD6-82,CD6-83,CD6-84,CD6-85,CD6-86,CD6-87,CD6-88,CD6-89,CD6-90,CD6-91,CD6-92,CD6-93,CD6-94,CD6-95,CD6-96,CD6-97,CD6-98,CD6-99,CD6-100
CF1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-2,99.60746386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-3,99.67029279,99.89158707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-4,99.18643075,99.45025444,99.47985849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-5,99.56547441,99.73008651,99.5338689,99.34215173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-6,99.63758429,99.81306508,99.66502281,99.42371557,99.95756368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-7,99.54383319,99.70710062,99.50468075,99.32209058,99.98472061,99.94895711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-8,99.50642607,99.79649925,99.87723271,99.52617692,99.53841818,99.63641371,99.51593769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-9,98.30633519,98.69903409,98.3638856,98.19440407,99.07203898,99.04956538,99.06499037,98.35248212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-10,99.62338604,99.83646901,99.71474769,99.47621613,99.94019825,99.95765375,99.91743715,99.72097497,98.91564658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
